time,date,itemid,price,discount,price_before_discount,stock,sold,item_status,cmt_count,liked_count,source
1685935882,2023-06-05 03:31:22,22533232350,3273180665167,11%,3695526557447,1237,0,normal,7,0,
1685938002,2023-06-05 04:06:42,22533232350,3485837406170,11%,3935622877933,1426,0,normal,7,0,
1685939494,2023-06-05 04:31:34,22533232350,3293714082313,11%,3718709447773,1439,0,normal,10,0,
1685941427,2023-06-05 05:03:47,22533232350,3183908694241,11%,3594735622531,1495,0,normal,10,0,
1685943083,2023-06-05 05:31:23,22533232350,3323616403745,11%,3752470133261,1210,0,normal,7,0,
1685945272,2023-06-05 06:07:52,22533232350,3098512190406,11%,3498320214974,1222,0,normal,13,0,
1685946814,2023-06-05 06:33:34,22533232350,3362760399721,11%,3796664967427,1406,0,normal,8,0,
1685948632,2023-06-05 07:03:52,22533232350,2917045289015,11%,3293438229533,1485,0,normal,12,0,
1685950283,2023-06-05 07:31:23,22533232350,2885883699393,11%,3258255789637,1313,0,normal,10,0,
1685952481,2023-06-05 08:08:01,22533232350,2839241522280,11%,3205595267090,1327,0,normal,13,0,
1685953902,2023-06-05 08:31:42,22533232350,2777513253824,11%,3135902060769,1157,0,normal,11,0,
1685955887,2023-06-05 09:04:47,22533232350,3513653742614,11%,3967028419081,1190,0,normal,11,0,
1685957498,2023-06-05 09:31:38,22533232350,3065027111554,11%,3460514480787,1160,0,normal,11,0,
1685959488,2023-06-05 10:04:48,22533232350,3298279284689,11%,3723863708520,1261,0,normal,11,0,
1685961162,2023-06-05 10:32:42,22533232350,2839897548776,11%,3206335942166,1393,0,normal,11,0,
1685962945,2023-06-05 11:02:25,22533232350,3060249930575,11%,3455120889359,1480,0,normal,10,0,
1685964684,2023-06-05 11:31:24,22533232350,2951915122535,11%,3332807396411,1264,0,normal,10,0,
1685967059,2023-06-05 12:10:59,22533232350,3661906191071,11%,4134410215726,1342,0,normal,12,0,
1685969479,2023-06-05 12:51:19,22533232350,3384659081275,11%,3821389285311,1272,0,normal,11,0,
1685970616,2023-06-05 13:10:16,22533232350,3603899790018,11%,4068919117762,1165,0,normal,11,0,
1685971898,2023-06-05 13:31:38,22533232350,3497602068666,11%,3948905561397,1433,0,normal,9,0,
1685973814,2023-06-05 14:03:34,22533232350,3242492042045,11%,3660878111986,1281,0,normal,12,0,
1685975478,2023-06-05 14:31:18,22533232350,3434170989442,11%,3877289826789,1434,0,normal,10,0,
1685977432,2023-06-05 15:03:52,22533232350,3180134634385,11%,3590474587209,1391,0,normal,7,0,
1685980759,2023-06-05 15:59:19,22533232350,2760283864613,,3116449524563,1286,0,normal,12,0,shopee
1685981143,2023-06-05 16:05:43,22533232350,2788540866111,,3148352590770,1345,0,normal,11,0,shopee
1685981237,2023-06-05 16:07:17,22533232350,3629138443619,,4097414371827,1164,0,normal,10,0,shopee
